instructor_id,department_id,first_name,last_name,email,hire_date,position,salary,is_tenured
33,5,Dmitri,Wilson,dmitri.wilson33@university.example,2017-06-04,Lecturer,52383.75,false
34,4,Alex,Clark,alex.clark34@university.example,2018-04-02,Researcher,44876.61,false
35,1,Alex,Clark,alex.clark35@university.example,2015-05-07,Researcher,113550.97,true
36,1,James,Petrova,james.petrova36@university.example,2019-07-20,Associate Professor,45481.71,true
37,4,Dmitri,Petrova,dmitri.petrova37@university.example,2019-12-26,Researcher,59697.23,true
38,10,Maria,Lee,maria.lee38@university.example,2017-05-16,Researcher,85218.15,false
39,5,Anna,Garcia,anna.garcia39@university.example,2012-09-04,Professor,71662.87,false
40,8,Olga,Petrova,olga.petrova40@university.example,2010-02-08,Lecturer,89692.74,true
41,2,James,Johnson,james.johnson41@university.example,2015-09-04,Professor,50596.53,false
42,2,Anna,Garcia,anna.garcia42@university.example,2013-03-13,Associate Professor,75054.77,false
43,10,James,Ivanov,james.ivanov43@university.example,2017-06-28,Researcher,63950.30,true
44,3,Peter,Petrova,peter.petrova44@university.example,2019-12-24,Assistant Professor,99393.33,true
45,5,Peter,Clark,peter.clark45@university.example,2012-05-12,Professor,56287.78,false
46,9,Laura,Brown,laura.brown46@university.example,2019-06-28,Assistant Professor,47383.88,false
47,5,Alex,Ivanov,alex.ivanov47@university.example,2013-09-28,Associate Professor,90969.07,false
48,3,Laura,Wilson,laura.wilson48@university.example,2017-11-30,Lecturer,84872.55,true
49,2,John,Wilson,john.wilson49@university.example,2010-05-28,Professor,86600.77,true
50,7,John,Ivanov,john.ivanov50@university.example,2013-06-16,Professor,111918.52,true
51,6,Anna,Johnson,anna.johnson51@university.example,2017-06-24,Assistant Professor,68294.29,false
52,10,John,Johnson,john.johnson52@university.example,2019-09-12,Associate Professor,118096.48,true
53,7,Alex,Smith,alex.smith53@university.example,2018-04-05,Professor,102590.92,false
54,4,Peter,Smith,peter.smith54@university.example,2018-10-31,Assistant Professor,70603.34,true
55,8,Anna,Johnson,anna.johnson55@university.example,2019-02-27,Lecturer,67972.67,true
56,4,Alex,Johnson,alex.johnson56@university.example,2014-06-21,Professor,62288.24,true
57,5,Olga,Wilson,olga.wilson57@university.example,2014-06-26,Researcher,66491.99,true
58,2,Peter,Smith,peter.smith58@university.example,2016-07-06,Professor,43060.58,false
59,6,Olga,Lee,olga.lee59@university.example,2016-10-19,Researcher,49251.66,true
60,5,Alex,Lee,alex.lee60@university.example,2010-01-07,Researcher,114046.01,true
61,6,Dmitri,Petrova,dmitri.petrova61@university.example,2017-06-13,Professor,89852.43,true
62,5,James,Brown,james.brown62@university.example,2017-06-24,Lecturer,66094.63,false
63,9,John,Johnson,john.johnson63@university.example,2014-09-19,Lecturer,94185.44,true
64,10,Kate,Brown,kate.brown64@university.example,2014-07-22,Researcher,106698.01,false
65,5,Anna,Lee,anna.lee65@university.example,2018-10-24,Researcher,88532.93,false
66,8,Laura,Taylor,laura.taylor66@university.example,2017-07-30,Associate Professor,80893.92,true
67,2,Peter,Wilson,peter.wilson67@university.example,2017-06-12,Researcher,66815.06,true
68,5,Anna,Johnson,anna.johnson68@university.example,2011-08-27,Assistant Professor,43697.10,false
69,10,Maria,Taylor,maria.taylor69@university.example,2014-08-25,Researcher,55554.82,false
70,8,Dmitri,Johnson,dmitri.johnson70@university.example,2011-08-28,Assistant Professor,111412.79,true
71,7,Anna,Smith,anna.smith71@university.example,2019-01-07,Researcher,77163.99,true
72,2,Laura,Smith,laura.smith72@university.example,2018-12-27,Lecturer,93406.22,false
73,8,Kate,Wilson,kate.wilson73@university.example,2014-10-14,Researcher,75673.09,true
74,8,Laura,Brown,laura.brown74@university.example,2018-06-07,Associate Professor,107189.03,false
75,9,Laura,Johnson,laura.johnson75@university.example,2013-01-29,Lecturer,46198.67,false
76,4,Peter,Garcia,peter.garcia76@university.example,2013-08-02,Researcher,46446.21,true
77,4,Dmitri,Smith,dmitri.smith77@university.example,2017-12-03,Associate Professor,45138.31,false
78,6,James,Taylor,james.taylor78@university.example,2014-08-31,Assistant Professor,56546.75,false
79,7,Kate,Ivanov,kate.ivanov79@university.example,2019-08-11,Researcher,70430.48,true
80,6,Peter,Lee,peter.lee80@university.example,2019-07-28,Lecturer,83057.65,true
